dir,u,v
d,3061794386,$flatten\vscale_0.\pipeline.\csr.$eq$/home/felix/Documents/rtl2uspec/multicore_vscale_rtl2uspec_ae/src/main/verilog/vscale_csr_file.v:158$269_Y
u,\vscale_0.pipeline.inst_DX [31:20],3698186065
d,3698186065,$flatten\vscale_0.\pipeline.\csr.$eq$/home/felix/Documents/rtl2uspec/multicore_vscale_rtl2uspec_ae/src/main/verilog/vscale_csr_file.v:101$250_Y
u,\vscale_0.pipeline.csr.wdata_internal,1824502888
d,1824502888,$flatten\vscale_0.\pipeline.\csr.$and$/home/felix/Documents/rtl2uspec/multicore_vscale_rtl2uspec_ae/src/main/verilog/vscale_csr_file.v:325$306_Y
u,\vscale_0.pipeline.csr.wdata_internal,647200254
d,647200254,$flatten\vscale_0.\pipeline.\csr.$and$/home/felix/Documents/rtl2uspec/multicore_vscale_rtl2uspec_ae/src/main/verilog/vscale_csr_file.v:221$288_Y
u,\vscale_0.pipeline.PC_WB,4178765876
d,4178765876,$flatten\vscale_0.\pipeline.\csr.$and$/home/felix/Documents/rtl2uspec/multicore_vscale_rtl2uspec_ae/src/main/verilog/vscale_csr_file.v:219$285_Y
u,$flatten\vscale_0.\pipeline.\csr.$not$/home/felix/Documents/rtl2uspec/multicore_vscale_rtl2uspec_ae/src/main/verilog/vscale_csr_file.v:113$260_Y,278460782
u,\vscale_0.pipeline.csr.rdata,278460782
d,278460782,$flatten\vscale_0.\pipeline.\csr.$and$/home/felix/Documents/rtl2uspec/multicore_vscale_rtl2uspec_ae/src/main/verilog/vscale_csr_file.v:113$261_Y
u,$flatten\vscale_0.\pipeline.\csr.$shl$/home/felix/Documents/rtl2uspec/multicore_vscale_rtl2uspec_ae/src/main/verilog/vscale_csr_file.v:91$243_Y,2797832116
u,\vscale_0.pipeline.csr.mtvec,2797832116
d,2797832116,$flatten\vscale_0.\pipeline.\csr.$add$/home/felix/Documents/rtl2uspec/multicore_vscale_rtl2uspec_ae/src/main/verilog/vscale_csr_file.v:91$244_Y
u,\vscale_0.pipeline.csr.mtime_full,3792834863
d,3792834863,$flatten\vscale_0.\pipeline.\csr.$add$/home/felix/Documents/rtl2uspec/multicore_vscale_rtl2uspec_ae/src/main/verilog/vscale_csr_file.v:312$305_Y
u,\vscale_0.pipeline.csr.instret_full,3551395574
